Borough,Primary Property Type - Self Selected,Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Weather Normalized Site Natural Gas Use (therms),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),score,TaxBlock,TaxLotNum
3.0,1.0,1951.0,1.0,100.0,1.0,88.6,4.2,0.7,122.6,144982.5,808957.3,985.0,194870.0,79.0,7235.0,1.0
3.0,1.0,1951.0,1.0,100.0,1.0,79.8,1.5,0.7,94.5,36349.8,73333.3,203.8,48710.0,96.0,7237.0,2.0
3.0,1.0,1951.0,1.0,100.0,1.0,77.5,1.5,0.7,92.2,35270.7,73333.3,197.3,48710.0,97.0,7237.0,2.0
3.0,1.0,1949.0,1.0,100.0,1.0,65.0,1.3,0.6,77.5,34242.9,73333.3,193.3,56534.0,99.0,7238.0,2.0
3.0,1.0,1949.0,1.0,100.0,1.0,74.8,1.3,0.7,87.8,39803.0,73333.3,220.5,56534.0,96.0,7238.0,2.0
2.0,1.0,1968.0,1.0,100.0,1.0,35.4,7.5,0.1,90.5,17466.8,1318688.4,534.2,176434.0,95.0,3642.0,1.0
2.0,1.0,1968.0,1.0,100.0,1.0,33.8,7.2,0.1,87.0,16141.3,1274960.1,504.2,176434.0,97.0,3642.0,1.0
2.0,1.0,1972.0,1.0,100.0,1.0,90.5,5.9,0.7,137.3,66548.3,561147.4,515.2,94656.0,51.0,3130.0,20.0
2.0,1.0,1972.0,1.0,100.0,1.0,115.3,7.0,0.9,171.1,34720.1,265865.5,258.0,37964.0,35.0,3130.0,20.0
2.0,1.0,1972.0,1.0,100.0,1.0,138.7,3.9,1.3,173.5,141370.3,441394.0,859.8,112796.0,31.0,3130.0,20.0
2.0,1.0,1972.0,1.0,100.0,1.0,141.0,2.7,1.3,167.2,132636.3,269794.6,772.2,100569.0,35.0,3131.0,20.0
2.0,1.0,1972.0,1.0,100.0,1.0,136.4,3.9,1.2,171.4,147230.3,473104.6,902.1,119786.0,32.0,3136.0,1.0
3.0,1.0,1965.0,2.0,100.0,1.0,184.2,5.1,1.8,193.4,6217765.0,509022.1,33193.5,3374944.0,4.0,7253.0,1.0
4.0,1.0,1966.0,3.0,100.0,1.0,82.4,5.1,0.5,127.9,44947.2,509022.1,940.3,279855.0,100.0,8401.0,600.0
4.0,1.0,1966.0,1.0,100.0,1.0,17.0,4.3,0.0,48.7,1868.6,373103.8,130.4,86069.0,100.0,8401.0,600.0
4.0,1.0,1966.0,1.0,100.0,1.0,20.8,5.3,0.0,59.3,2477.7,453181.4,159.8,86303.0,100.0,8401.0,600.0
1.0,2.0,1928.0,1.0,100.0,1.0,88.2,13.0,0.5,192.0,44947.2,790362.4,408.4,60852.0,75.0,176.0,1.0
1.0,2.0,1915.0,1.0,100.0,1.0,97.5,12.6,0.5,200.7,44947.2,618073.9,358.5,49000.0,64.0,176.0,4.0
1.0,1.0,1930.0,1.0,100.0,1.0,16.0,3.8,0.0,44.0,2292.0,299684.5,110.5,78397.0,100.0,1991.0,31.0
1.0,3.0,1963.0,1.0,100.0,1.0,47.4,13.9,0.5,148.9,44947.2,5986487.4,1919.0,430679.0,100.0,1068.0,3.0
